PropertyName,BHK,Location,Area,ListingPrice,FurnishStatus,City,Description
Naiknavare Gardenia Society Phase 1,2,Wadgaon Sheri,900,40000.0,Furnished,Pune,"Welcome to a comfortable and convenient lifestyle in Wadgaon Sheri, Pune, with this furnished 2-bedroom, 2-bathroom Flats in Naiknavare Gardenia Society Phase 1.This 900 square feet home is located on the second floor of a five-story building and offers a lovely garden view from its balcony. You will find everything you need for a relaxed life here, including Kids` Play"
Lunkad Amazon,2,Viman Nagar,1160,49000.0,Furnished,Pune,"A furnished 2-bedroom, 2-bathroom Flats in Pune Viman Nagar offers a comfortable living space of 1160 Square Feet on the 7th floor of Lunkad Amazon, boasting a pleasant garden view.This home is available for rent at 49 thousand per month and includes a dedicated parking spot. Residents will enjoy access to a gymnasium, kids` play areas, a clubhouse, and high-speed"
Goel Ganga Nebula,2,Viman Nagar,1150,52000.0,Furnished,Pune,"For a rent of 52 thousand, you will find a beautifully furnished two-bedroom, two-bathroom Flats in Goel Ganga Nebula, Viman Nagar, Pune.This 1150 square feet home is on the 5th floor of a 7-story building and offers a lovely garden view. It is perfect for bachelors and offers a quick deal, especially appealing for those who value having schools nearby."
Avon Vista,3,Balewadi,1210,45000.0,Unfurnished,Pune,"Find your next comfortable home in Pune Balewadi with this unfurnished 3-bedroom, 3-bathroom Flats at Avon Vista, available for rent at 45 thousand per month.This spacious 1210 square feet apartment is located on the 12th floor of a 22-story building, offering a peaceful garden view from your balcony. You`ll have access to a wide range of amenities designed for a"
VTP Aethereus,2,Mahalunge,650,29099.0,Furnished,Pune,"A peaceful life in Pune is within your reach with this furnished 2-bedroom, 2-bathroom Flats in VTP Aethereus, Mahalunge, available for rent at 29099 per month.Situated on the 6th floor of a 22-story building, this 650 square feet home offers a serene garden view and comes with one dedicated parking space. The apartment is between 2 to 4 years old,"
Rachana Eternia,2,Baner,850,35000.0,Unfurnished,Pune,"A bright and airy 2-bedroom, 2-bathroom unfurnished Flats awaits you in Baner, Pune, offering a generous 850 square feet of living space for 35 thousand per month.Located on a lower floor of the Rachana Eternia project, this residence boasts a pleasant creek view and comes with the convenience of 1 dedicated parking spot. You will find essential amenities to make"
Ace Sai Dwarka Paradise,2,Kiwale,750,25000.0,Furnished,Pune,"A comfortable 2-bedroom, 2-bathroom furnished Flats is available for rent in Kiwale, Pune, for 25 thousand per month, offering 750 square feet of living space with a garden view.Located on the first floor of Ace Sai Dwarka Paradise, this newly built property provides a safe and secure living environment within a gated society, perfect for bachelors seeking an affordable place"
Laxmi Ganga Residency Apartment,2,Anand Nagar,1100,22000.0,Unfurnished,Pune,"Consider making Anand Nagar your new neighborhood with this unfurnished 2-bedroom, 2-bathroom Flats in Laxmi Ganga Residency Flats, offering a comfortable 1100 Square Feet of living space. This apartment on the 4th floor of a 6-story building features a pleasant garden view and is situated in a gated society that prioritizes safety and security, providing a peaceful environment.You will appreciate the"
Aarohi CHS Sus,2,Sus,850,35000.0,Furnished,Pune,"Finding a comfortable and well-equipped place to live in Pune Sus area is now easier with this furnished two-bedroom, two-bathroom Flats in Aarohi CHS Sus.This home is located on the fifth floor of an eleven-story building and offers 850 square feet of living space for 35 thousand per month, making it a very attractive option. You'll have access to a"
Menlo Homes Next,2,Kharadi,1010,25000.0,Semi-Furnished,Pune,"Seeking a convenient rental in Pune Kharadi area. This semi-furnished, two-bedroom, two-bathroom Flats at Menlo Homes Next offers a comfortable living space of 1010 square feet on the fifth floor with a pleasant garden view.You will have access to a range of amenities including a gymnasium, badminton court, kids` play areas, a jogging track, a clubhouse, and a swimming pool, making"
Atur Park,2,Koregaon,950,40000.0,Semi-Furnished,Pune,"Experience the joy of living with this semi-furnished, 2-bedroom, 2-bathroom Flats for rent in Pune Koregaon locality.Situated on the 4th floor of Atur Park, this 950 square feet home offers a pleasant pool view and comes with essential amenities like a gymnasium, swimming pool, kids' play areas, and 24x7 security for your peace of mind. The apartment features a balcony,"
Kasturi Eon Homes,2,Hinjewadi,839,35000.0,Semi-Furnished,Pune,"Find your next comfortable living space in Pune Hinjewadi, located within the Kasturi Eon Homes project, a two-bedroom semi-furnished Flats on the 22nd floor.This home offers a generous 839 square feet of living area and overlooks a beautiful park, providing a serene view from the 22nd level. Residents will have access to a wealth of amenities designed for an active"
